claim_id,valuation_date,case_reserve_amount,expense_reserve_amount
C0000001,2016-09-26,4072.2481418265183,407.22481418265187
C0000001,2016-10-26,3254.7626028595278,325.4762602859528
C0000001,2016-11-26,2743.368296849194,274.3368296849194
C0000001,2016-12-26,4046.120983052424,404.6120983052424
C0000001,2017-01-26,1697.0581971391464,169.70581971391465
C0000001,2017-02-26,1779.8470698984465,177.98470698984465
C0000001,2017-03-26,1550.8168539340786,155.08168539340787
C0000001,2017-04-26,1865.6818700567587,186.5681870056759
C0000001,2017-05-26,1699.256162723972,169.9256162723972
C0000001,2017-06-26,2271.420978579846,227.14209785798462
C0000001,2017-07-26,1086.1643923797037,108.61643923797038
C0000001,2017-08-26,1691.4748766102532,169.14748766102534
C0000001,2017-09-26,774.625341512567,77.4625341512567
C0000001,2017-10-26,1172.4275066544012,117.24275066544013
C0000001,2017-11-26,2224.046804940928,222.4046804940928
C0000001,2017-12-26,1586.4332205265819,158.6433220526582
C0000001,2018-01-26,1367.7306210671388,136.7730621067139
C0000001,2018-02-26,810.9314746133102,81.09314746133103
C0000001,2018-03-26,1011.7871561400984,101.17871561400985
C0000001,2018-04-26,904.2302017699992,90.42302017699993
C0000001,2018-05-26,701.0140679048483,70.10140679048483
C0000001,2018-06-26,979.3658320901288,97.9365832090129
C0000001,2018-07-26,943.3111487037642,94.33111487037642
C0000001,2018-08-26,561.6681701602242,56.16681701602243
C0000001,2018-09-26,629.1140694105394,62.91140694105394
C0000001,2018-10-26,690.9774738487831,69.09774738487832
C0000001,2018-11-26,704.8011894305542,70.48011894305543
C0000001,2018-12-26,650.6597532142787,65.06597532142787
C0000001,2019-01-26,537.6785562996535,53.76785562996535
C0000001,2019-02-26,898.4428414587002,89.84428414587002
C0000001,2019-03-26,841.9264772836557,84.19264772836557
C0000001,2019-04-26,430.8015313186025,43.08015313186025
C0000001,2019-05-26,648.5146644314509,64.8514664431451
C0000001,2019-06-26,459.7181736680057,45.97181736680057
C0000001,2019-07-26,625.6087686462014,62.56087686462014
C0000001,2019-08-26,673.8533496293092,67.38533496293091
C0000002,2022-04-27,2524.3777318610464,252.43777318610466
C0000002,2022-05-27,4059.7692534438415,405.9769253443842
