policy_number,inception_date,policy_holder_id,premium_amount,region,expiration_date,date_month,earned_exposure,earned_premium
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2023-09-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2023-10-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2023-11-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2023-12-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-01-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-02-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-03-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-04-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-05-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-06-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-07-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-08-01,0.08333333333333333,1619.1011112997612
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10,2024-09-01,0.08333333333333333,1619.1011112997612
C0000001,2024-08-08,87258,13725.391924349218,South,2025-08-08,2024-08-01,0.08333333333333333,1143.7826603624349
C0000001,2024-08-08,87258,13725.391924349218,South,2025-08-08,2024-09-01,0.08333333333333333,1143.7826603624349
C0000001,2024-08-08,87258,13725.391924349218,South,2025-08-08,2024-10-01,0.08333333333333333,1143.7826603624349
C0000001,2024-08-08,87258,13725.391924349218,South,2025-08-08,2024-11-01,0.08333333333333333,1143.7826603624349
C0000001,2024-08-08,87258,13725.391924349218,South,2025-08-08,2024-12-01,0.08333333333333333,1143.7826603624349
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-05-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-06-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-07-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-08-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-09-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-10-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-11-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2017-12-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2018-01-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2018-02-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2018-03-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2018-04-01,0.08333333333333333,1244.6962949174895
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10,2018-05-01,0.08333333333333333,1244.6962949174895
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2018-07-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2018-08-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2018-09-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2018-10-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2018-11-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2018-12-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-01-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-02-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-03-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-04-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-05-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-06-01,0.08333333333333333,2131.0051472176324
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18,2019-07-01,0.08333333333333333,2131.0051472176324
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-02-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-03-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-04-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-05-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-06-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-07-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-08-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-09-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-10-01,0.08333333333333333,2522.0693119937346
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04,2018-11-01,0.08333333333333333,2522.0693119937346
